+035.379917,-096.907845,00325,L
+035.181180,-097.439810,00567,$
+035.379917,-096.907845,00325,L
+035.181200,-097.440000,00581,$
+035.181300,-097.440090,00603,$
+035.181330,-097.440160,00609,$
+035.181480,-097.440280,00621,$
+035.181560,-097.440300,00627,$
+035.181760,-097.440360,00660,$
+035.181840,-097.440350,00666,$
+035.182210,-097.440150,00712,$
+035.182300,-097.440140,00718,$
+035.182390,-097.440160,00723,$
+035.182460,-097.440200,00728,$
+035.182510,-097.440240,00734,$
+035.182550,-097.440240,00739,$
+035.182600,-097.440210,00746,$
+035.182680,-097.440180,00752,$
+035.182780,-097.440170,00757,$
+035.182870,-097.440210,00763,$
+035.182940,-097.440250,00770,$
+035.183000,-097.440270,00776,$
+035.183080,-097.440250,00782,$
+035.183180,-097.440250,00786,$
+035.183280,-097.440250,00791,$
+035.183360,-097.440280,00797,$
+035.183420,-097.440310,00803,$
+035.183460,-097.440310,00808,$
+035.183510,-097.440280,00813,$
+035.183570,-097.440230,00819,$
+035.183660,-097.440200,00825,$
+035.183750,-097.440200,00830,$
+035.183840,-097.440230,00835,$
+035.183910,-097.440260,00841,$
+035.183960,-097.440270,00847,$
+035.184010,-097.440230,00852,$
+035.184090,-097.440180,00858,$
+035.184190,-097.440130,00863,$
+035.184300,-097.440120,00868,$
+035.184390,-097.440130,00874,$
+035.184460,-097.440140,00879,$
+035.184520,-097.440120,00885,$
+035.184580,-097.440060,00892,$
+035.184660,-097.439990,00899,$
+035.184750,-097.439960,00905,$
+035.184810,-097.439940,00911,$
+035.379917,-096.907845,00325,L
+035.184810,-097.439940,00911,$
+035.184910,-097.439890,00922,$
+035.184980,-097.439830,00928,$
+035.185070,-097.439790,00934,$
+035.185170,-097.439780,00941,$
+035.185250,-097.439770,00946,$
+035.185310,-097.439720,00952,$
+035.185360,-097.439630,00957,$
+035.185440,-097.439530,00962,$
+035.185540,-097.439450,00968,$
+035.185650,-097.439410,00973,$
+035.185750,-097.439390,00978,$
+035.185820,-097.439380,00984,$
+035.185870,-097.439350,00990,$
+035.185920,-097.439290,00995,$
+035.185990,-097.439190,01000,$
